8인실로 예약 가능한가요?	8인실은 예약 가능해요
그러면 불고기버거 같은 거는 구입해서 집에 두면 냉장보관 며칠 정도 돼요?	구입하고 하루 다음 날 아침까지는 괜찮으신데 바로 먹는 게 좋아요
어떤 종류 있어요?	컵밥 종류도 있고 햄버거처럼 위 아래에 밥으로 된 것도 있습니다
카드로 계산 가능해요?	가능하세요
몇시까지 하시는데요	10시까지 해요.
피자빵 있나요?	여기 두 종류 있습니다
가죽 자켓을 짧게 리폼 하려고 하면 얼마정도 드나요?	가죽 소재의 경우 실물 확인 후 가격 말씀드리고 있습니다
콩고물 떡으로 하실 건가요?	그거로 반 말만 해 주세요
어서 오세요 몇 분이세요?	두 명이요 이쪽에 앉을게요
음료는 콜라 괜찮으시구요?	괜찮아요.
아이 이유식용 소고기 주세요	안심이 기름이 적고 부드러워서 아이들 먹기 좋아요
국물 자체가?	소유라면과 돈코츠 국물은 돼지뼈 육수를 진하게 우려낸 거예요
손잡이만 갈면 매치가 잘 안돼서 이상할라나?	가방을 가지고 오셔야 판단 할 수 있습니다
케이크 사면 글씨 써 준다고 해서 왔는데 맞나요?	케이크에 메시지 써 드려요
4월 20일 예약 가능할까요?	가능해요
부츠컷으로 보여주실 수 있나요?	이쪽에서 보시면 됩니다
짬뽕은요?	드시고 싶은 게 다 다르니까요
세일 중인 팩트가 있나요	현재 팩트는 세일 중인 게 없어요
당도가 많이 차이 나나요?	당도 차이는 별로 없어요.
쓰레기통은 어디 있어요?	쓰레기통은 저 안에 있어요
이거는 얼마죠?	이거는 세일해서 14만 9천 원입니다
돼지고기 한 근에 얼마 정도 해요?	돼지고기 불고기 거리는 칠천원이요
네 잘 맞는 것 같은데 이거 얼마에요?	실버 제품이라 가격은 20000원입니다
오늘 더 안 만드시나요?	이따가 저녁에 6시쯤 한 번 더 나와요
여기 규동은 어떤 거예요?	규동은 고기가 올라가는 안 매운 거예요
안 매운 건  없나요?	콩자반과 진미채볶음 있어요
이 팔찌는 얼마인가요?	금으로 제작되어 12만원입니다
식사 주문은 어떻게 하죠?	좌석에 있는 주문 버튼을 눌러주세요
이 제품 발라봐도 되나요?	찾으시는 색상 있으세요?
이건 무늬가 악어인데 뭔가요?	소가죽이에요
이 옷은 티 같은데요?	그 옷 티 아니에요
이거 진주 떨어지고 그러지는 않아요?	찡으로 박혀 있어 떨어지지는 않아요
카드 결제할게요	앞에 카드 꽃아주시면 됩니다
부모님 선물 사고 싶은데 추천해주실 수 있나요?	어머님들이 특히 좋아하시는 제품이에요
자리에서 흡연 가능한가요?	흡연은 불가합니다
네 카드로 계산할게요	영수증 드릴게요
묵은지 있나요?	묵은지 있어요
얼마나 드릴까요?	한 5개 정도 넣어주세요
더블은 뭐예요?	돈가스 두 장이에요
주변에 짜장면 맛있는 집 번호 아시나요?	이 집이 맛있는데 여기로 전화해보세요
반찬은 셀프인가요?	저희는 셀프서비스음식점입니다
그냥 머그컵에 주세요	아이스 아메리카노 한 잔에 3000원입니다
어느 분이 입으실 건가요	아 네 제가 입을 건데요
물티슈 하나만 주실래요?	제가 닦아 드릴게요
바나나 한 덩이에 얼마에요?	바나나 한 송이에 오천 원이에요.
그럼 이 가방 하나 주세요.	결제는 카운터에서 해드릴게요.
화장실이 안에 있나요?	밖에 있습니다
음료는 뭐가 있어요?	음료는 뽑아마시는 탄산 있고요 냉장고 보시면 여러 가지 있어요
남성용  에센스 있나요?	두 가지 제품을 추천할게요
아니요, 롯데상품권으로 결제할 수 있나요?	롯데 상품권으로 결제 불가능 합니다
이거는 원피스 형으로 나온 거에요?	짧은 블라우스 형식입니다
마그네슘제는 얼마예요?	마그네슘제는 5일분에는 4천원 5천원이고 한달분에는 삼만원이에요
와이파이 같은 거는 다 설치되어 있나요?	와이파이는 다 설치 되어 있습니다
현금 영수증도 안되나요?	카드 리더기로 같이 현금 영수증을 발급하기 때문에 그것도 지금 안돼요
어떤 케이크 찾으시나요?	생크림 과일 케이크 주세요
신어봐도 돼요?	35가 있으니까 드릴게요
달팽이 크림도 많이 나가죠?	저희 달팽이 크림도 많이 나가요
와이파이 사용 가능한가요?	비밀번호는 영수증 아래에 적혀있습니다
쓰레기는 어디에 버려야 하나요?	주차장 왼쪽에서 분리수거해주시면 돼요
초등 1학년 되는데 책가방 좀 보여주시겠어요?	고객님 안쪽으로 들어오세요
평일날 예약 해도 되는 거죠?	염색이나 시술은 예약제입니다
이 제품 사려고 하는데 사은품으로 주시는거 있나요?	사은품은 없고 할인된 가격으로 사실 수 있습니다.
결제는 그러면 카드로 하나요 아니면 현금?	카드나 현금이나 원하는 대로 하시면 됩니다
오전에 전화 주신 분 맞으시죠?	초만 35개 포장해드릴게요
짜장면 2개 시켜 줄 수 있나요?	주문해드리겠습니다
거기 1시간 이용 요금이 얼마인가요?	천 원입니다
학생이 따로 사달라고 하는 게 있나요?	그냥 화장품을 가지고 싶다고 하더라고요
요런 잠바는 얼마예요?	그 잠바 구만 팔천 원이에요
스킨케어는 지금 얼마에요?	원래는 이만이천 원인데 할인해서 만팔천 원이요
계산은 선불로 하시겠습니까	알겠습니다
그럼 1시간 충전하면 1시간 더 추가되는 건가요?	그렇습니다
카페는 몇 시에 문이 여나요?	오전 7시부터 오픈해요
네 휴지도 같이 주시겠어요?	아메리카노 4000원입니다
귤은요?	귤은 한 바구니에 3000원이에요.
여드름에 좋은 제품도 있나요?	이 제품하고 이 제품이 여드름 케어 제품이에요
냉동 보관하는 거보다 빨리 먹는 게 낫겠죠?	고기는 보관하는 거보다 먹는 게 낫습니다
새치 많이 보이나요?	하시는 게 좋을 거 같아요
한 시간에 얼마죠?	1시간에 2000원입니다
오늘 밤 숙박 가능한가요?	오늘 숙박은 어렵고 대실로 4시간 정도 사용하실 수 있는 방만 있어요
된장이나 양념장 같은 거는 카드는 안돼요?	카드는 안 돼요
제품은 뭐 써요?	르미네상스 제품으로 가장 효과 좋은 클리닉 제품을 사용하고 있습니다.
카카오페이 결제가 가능한가요?	카카오페이 부분은 프런트에서 문의하세요 연결해 드릴게요
혹시 지금 할인되나요?	20프로 할인 중이에요
이 떡은 뭔가요?	이건 단호박 넣은 떡입니다
콩하고 이런 건 다 국산 쓰시는 건가요	국산이에요.
색상은 이거와 연한 핑크 두 가지예요??	이거밖에 없어요
명함이나 전화번호 하나 주세요	여기 있습니다
세안비누도 있나요?	세안비누는 없어요
어떤 색이 있죠?	회색과 남색이 있어요
후토마끼 새우덴뿌라 하는 건 뭐예요?	그것도 김밥이에요
떡볶이 1인분 순대 1인분 오뎅 세개 포장해주세요	알겠습니다
비빔만두도 전부 다 튀기는 거죠?	찌는 겁니다
롱패딩 세탁 맡기려고 하는데 하나에 얼마인가요?	롱패딩은 만 원의 세탁 비용이 들어갑니다
김치 1KG에 얼마인가요?	만 5천원이에요
라떼 중에서는 카페라떼가 제일 덜 달죠?	시럽이 안 들어가서 제일 안 달아요
두 명인데 바로 게임 가능한가요?	10분 정도 대기해주셔야 할 것 같습니다
소고기 할인도 되나요?	오늘 소고기는 정가에 팔고 있어요
모피 길이도 줄여주나요?	모피 길이 수선은 안해요
네, 몇 분이세요?	있어요
1시간에 얼마인가요?	9천 원입니다
요새는 몇 시에 문 닫아요?	보통 여덟 시면 손님 없어서 닫습니다
결제는 뭘로 하시겠어요?	현금으로 할게요
바지가 좀 길어서 그런데 여기서 수선도 맡겨주시나요?	5천 원 추가 비용 들어요.
혹시 피씨방 영업 시간이 언제까지 인가요?	24시간 영업입니다
프리쿠폰 사용 가능한가요?	사용 가능합니다
저 캠퍼스 사려고 하는데 블랙 사이즈 남아있나요?	블랙제품은 230 빼고 다 남아 있습니다
네 그럼 언제쯤 다시 들어오나요?	다음주 금요일쯤 다시 들어올 예정입니다
지금 따로 약 드시는 거 있으신가요?	피부과에서 먹고 있는 게 있긴 해요
운동화 있나요?	오른쪽으로 가세요
혹시 소갈비구이대신 회로 변경도 가능한가요?	가능합니다만 회를 좋아하시면 4만원짜리 드시고 따로 회를 추가하시는게 더 나으실겁니다
주문하면 몇 분 정도 소요돼요?	십오분이면 나와요
배달할 집은 어디예요?	요 근처예요
정식에는 국이 뭐예요?	오늘은 시래기에 조개 넣어서 끓인 국이에요
김치는 오늘 새로 한건가요?	바로 막 담근거에요
느끼하거나 그러진 않아요? 가츠동 제가 느끼한건 또 못먹거든요	그러면 이제 규동이 나을 수 있어요 왜냐하면 튀김이 없으니까요
기프티콘 사용은 어떻게 하면 되나요?	기프티콘 금액만큼 현금으로 사용하실 수 있습니다
특실을 할라하면 미리 예약을 해야 해요?	약해도 되는데 지금 밀려있어서요
화장실은 남녀 분리 되어 있어요?	아뇨
현금으로 하면 혹시 싸게 안 해주나요?	원래 클리닉은 35000원짜리거든요
특별히 찾으시는 물건이 있으신가요?	목도리를 찾고 있는데요
혹시 커피 번 나오는 시간이 정해져 있나요?	커피 번은 오후 12시에 제빵하고 있어요
네 살에서 다섯 살 사이 아이들용 치약으론 뭐가 괜찮을까요?	비타민과 칼슘이 첨가된 이 제품이 잘 나갑니다
4인 가족 3박  예약하신 거 맞으시죠?	맞습니다
저희 바비큐도 할 건데 장비를 빌릴 수 있나요?	숙박비용에 포함돼있어요
학생도 요금 똑같나요?	문 달린 데가 15만원이고 나머지가 다 13만원 그리고 야자도 요금이 달라요
턱 선까지 자르고 펌 말씀하시는 거세요?	너무 많이 안 뽀글 걸렸으면 좋겠습니다
케이크 종류 이것들밖에 없나요?	고객님 나머지 제품 다 나가서 여기 있는 게 전부예요
포장 인가요?	여기서 먹고 가려구요
소갈비찜 저런 거는 포장되겠네요?	저거는 포장해 드릴 수 있어요
밥이에요?	치킨 도리아는 치킨 필라프에 크림소스 볶음밥 소스 치즈까지 얹어서 오븐에서 구워서 나오는 겁니다
떡튀순에 새우튀김 추가요	21000원 입니다
땡초 김밥 많이 매워요?	그렇게 많이 맵지는 않아요
여기 와이파이 비밀번호 어딨어요?	와이파이 비밀번호는 W12345678 입니다
그러면 찾으러 가는게 할인 많이 되네요?	금액이 크면 할인이 많아요
음식 주문은 자리에서 하면 되나요?	주문하시면 자리로 갖다 드려요
시트 같은 것도 마찬가지죠?	요청하면 드려요
따뜻하게 드릴까요?	따뜻하게요
떡을 배달해 줘요?	떡을 배달해드려요
한 시간에 얼마인가요?	인당 천 원입니다
국물 좀 더 주시겠어요?	국물 더 갖다드릴게요
쿠키프라페에 휘핑크림 올려드릴까요?	휘핑 올려주세요
비싼 제품이랑 이 제품이랑 무슨 차이에요?	이 둘 차이점은 원단이에요. 이 제품은 바람막이고 저 제품은 기모에요
짜장면 한그릇에 얼마인가요?	4500원 입니다
꼬리 대신 할 수 있는 거 뭐 있을까요?	족은 어떨까요? 꼬리처럼 이렇게 생겼는데 꼬리도 껍질 있어요
세트메뉴 구성 변경 가능한가요?	가능합니다.
시금치는 별론데 제육볶음 없나요?	제육볶음 방금한 거 여기 있죠
이쪽 거는 세일 얼마나 들어간 거예요?	30프로 디시 해드려요
그란데 사이즈로 주세요	저쪽에서 잠시만 대기해주세요
침대방인가요?	온돌방이에요
바비큐장 이용할 수 있는 시설이 있나요?	바비큐장은 방 앞에 개별적으로 테라스가 있고 숯은 따로 피워 드려요. 가격은 만 오천원 정도 받고 있어요
많이 상했나요?	음 한 5센티는 잘라야 할 것 같네요
포켓볼 한 팀이랑 사구 한 팀 자리 있나요?	그렇게 하세요
결제는 카카오페이 되나요?	아직 카카오 페이로는 결제가 안돼요
약을 먹고 가려는데 정수기가 어디 있나요?	저쪽 코너에 마련되어 있습니다
부분 염색이 2만원이에요?	전체죠. 저처럼 이 정도면 이만원 받아요, 깎아주고
이렇게 큰 데 빈 방이 없을 때는 없겠죠?	빈 방이 시험 기간에는 없을 수 있는데,미리 전화 해 놓고 이틀간 잡으시면 됩니다
몇 분이신가요?	저 혼자입니다
이 옷은 얼마예요?	그 옷은 만 오천 원이에요
본사는 어디 있어요?	부산에 있습니다
파티룸은 몇 층이에요?	파티룸은 제일 윗층이에요
다른 세일 선크림도 있어요?	조금 촉촉한 걸로 찾으시면 이 선크림도 괜찮아요
카드로 결제되나요?	그렇군요
7시에 예약가능한가요	가능하십니다
오늘 새로운 반찬 좀 있나요?	이것저것 많이 있어요
이거는 우엉을 튀겨서 올리고당에 무친 거에요?	튀겨가지고 양념해요
멤버십 있는데 포인트 쓸 수 있나요?	포인트 사용 가능하세요
나가면 얼마나 기다려야 되나요?	지금 주문하시면 십오분 정도 걸립니다
따뜻한 거랑 시원한 거 중에 어떤 거 찾으세요?	따뜻한 거요
포인트 적립되는 카드 없죠?	저희는 그런 거 안합니다
어린아이가 한그릇 다 먹을 수 있나요?	적당합니다
여기 세탁 수거도 해주시나요?	아뇨
가격대는 어떻게 되나요?	가격대는 25만원이요.
할인카드나 적립카드는 있습니까?	통신사 제휴카드는 할인이 되고 적립은 따로 없어요
김치는 뭐가 제일 맛있어요?	요즘은 물김치가 제일 잘나가요
바나나는 없어요?	바나나는 아직 안 들어 왔어요.
이건 무슨 부각이에요?	그건 김부각이에요
난방은 히터로 하나요?	따뜻하게 하고 있어요
얼마에요?	90만원입니다
에센스랑 올인원 스킨로션, 가격이 얼마나 나오려나?	에센스랑 올인원 스킨로션, 6만5천 원까지 생각하면 돼요
어느 동네이십니까?	여기 평리동인데요
케이크는 2호 주시고 초는 5개 주세요	케이크랑 초 여기 있어요
저희 팀원이 한 명 비는데 같이 치면 안 될까요?	청소가 밀려있어서 힘들 것 같네요
네 얼마에요?	21000원입니다
약품 종류에 따라 세 가지로 나뉘는데 어떤 걸로 하시겠어요?	시간은 두 시간 정도 걸리세요
그럼 당구 1팀, 포켓볼 1팀 할게요	여기 3번, 5번입니다
사과 말고 다른 과일도 추천해주세요	체리도 맛있어요.
일반방과 프리미엄방은 뭐가 차이가 있죠?	방 사이즈나 설치된 비품들에서 조금 차이가 나요
네 포장이신가요?	먹고 갈게요
어디에 앉으면 되나요?	원하시는 곳에 앉으시면 됩니다
우리 애가 독서실에서 공부를 하고 싶어하는데 방 어떤게 있나요?	일반 독서실하고 다를 거 없이 방은 다 똑같아요
몇 미리 신으세요?	삼십오
조금만 주세요 이거는 주문하고 나오는 데 얼마쯤 걸려요?	금방 돼요 끓으면 나오죠
이거는 얼마예요?	세일해서 3만 5천 원입니다
이 옷은 얼마예요?	그 옷 만원이예요
펜션에 편의시설 다른 거 있나요?	특별히 편의시설은 없어요
이 빵은 과일 뭐에요?	이 빵에는 과일이 아니라 아몬드가 들어 있어요
여기 적립은 되는 가요?	포인트 적립됩니다
네 떡볶이 이 인분 순대 일 인분 오뎅 이 인분 고기 만두 일 인분만 주이소	사분만 계세요
토요일날도 여세요?	토요일도 영업해요
혹시 영양제 같은 거 어르신들한테 선물할 때 예쁘게 포장도 해 주세요?	포장은 안 됩니다
테이크아웃하면 싸나요?	테이크아웃은 아메리카노만 할인됩니다
산호 룸은 바다가 보이는 방인가요?	바로 코앞이 바다입니다
여기는 일요일 안 하지요?	일요일은 영업 안 합니다
한 개 이렇게 해가지곤 얼만데	2500원이에요.
얼마나 기다려야 해요?	이십분 정도 기다리시면 될 것 같습니다
가까운 편의점이 어디 있어요?	정문으로 나가셔서 오른쪽으로 조금만 가시면 편의점이 있어요
조각 케이크 말고 홀 케이크도 있나요?	준비되어 있습니다
가죽옷 수선 가격대는요?	수선 정도에 따라 금액이 다르기 때문에 정확히 말씀드리기 어렵습니다
이게 콤비네이션인가요?	기본 콤비네이션이고요 이탈리안 치즈입니다
신상인가요?	이번에 나온 신상이에요
아이들 먹는 해열제 있죠?	부루펜이랑 챔프 있어요
일요일은 영업하나요?	일요일도 영업해요
기프티콘으로 결제하고 나머지 차액은 이 카드로 결제해주세요	카드 보여주세요
이상품이 너무 마음에 드는데 240으로 깔창을 깔구 신으면 안 되나요?	그렇게하셔도 되십니다
두루치기는 어떤 맛으로 드릴까요?	순한 맛으로 주세요
증상이 나아지지 않는다고 생각되면 병원에 방문해보셔요	병원 방문해볼게요
사발면은 얼마인가요?	하나에 이천 원입니다
계산 좀 해주세요	계산해 드릴게요
얼마에요?	6000원이요
세트 주문하시면 우동이랑 모밀 중에 고르실 수 있는데 어떤 걸로 드릴까요?	모밀로 주세요
음료는 어떤걸로 드릴까요?	사이다로 주세요
정액권 끊으면 할인되나요?	10퍼센트 할인됩니다
안에 속주머니가 많은 건 어떤 거예요?	똑같은 건 아닌데 이 쪽이 좀 더 작죠
언제부터 묵으시나요?	오늘부터 삼일이요
포장이신가요?	그럼 머그잔으로 드릴게요
방 있어요?	방 있어요
혹시 스트라이프 셔츠 스몰 사이즈는 없나요?	지금 매대에 나와있는 게 전부예요
그럼 3단계는 얼마나 맵죠?	신라면이랑 맵기가 비슷하다고 보시면 되세요
가격이 얼마예요?	이 종류는 2만 원이고 이 종류는 3만 8천 원이에요
비상구는 혹시 어디에 있어요?	비상구는 뒤쪽 보시면 있습니다
요즘 제철 과일이 뭔가요?	요즘 제철 과일은 포도에요.
위에 떡케이크는 전부 다 찰떡이에요?	이 떡케이크는 찰떡으로 만들었어요
본인이 직접 오셔야하죠?	아무래도 본인이 직접 와서 발도 재고 디자인도 맞추셔야돼요.
결제는 일시불 또는 3개월 무이자 할부 가능합니다	일시불로 해주세요
립 에센스, 권해주고 싶은 게 뭐예요?	립 에센스는 바세린이랑 히말라야도 잘 나가요
아무 자리에 가서 하면 되나요?	알겠습니다
전화번호 하나 좀 주시겠어요?	팔오칠칠에 오구육일입니다
예약 가능한 날짜가 언제인가요?	원하시는 날짜를 말씀해주세요
얼마인가요?	100만원 이지만 50프로 세일하는 상품입니다
픽업은 해주시나요?	픽업은 되지 않아요
본점은 어딨어요?	잘 모르겠는데요
이 옷 55사이즈 있나요?	있습니다
봄 옷 스키니 같은 거 어떤 거 있는지?	봄 상품은 없고 다 겨울 상품이에요
빵 이렇게 스물다섯 개 이렇게 서른 개 정도 하면 언제 주문해야 해요?	그 정도 개수는 아무 떄나 주문하시면 돼요.
비비크림 추천 좀 해주시겠어요?	요즘엔 에뛰드 비비크림이 잘 나가요
당도가 어떻게 되요?	굉장히 달아서 당도가 높아요.
네, 오늘 체크인하시고 체크아웃은 언제로 잡아드릴까요?	내일이요
사이즈를 봐드릴게요 몇 신으세요?	제가 35인데
이거 2인으로 해주세요	준비해드릴게요
마카롱 같은 건 구입안해봤는데, 마카롱 가격이 얼마정도 해요?	마카롱 포장해서 2500원이에요. 마카롱 하나 드릴까요?
그럼 그냥 비회원 금액으로 결제해주세요	31번 자리로 가시면 됩니다
고기는 몇 근씩 준비해드리면 될까요?	목살은 2근, 삼겹살은 3근으로 주세요
전부 국산이에요?	돼지는 국산이고 차돌박이는 미국산이에요
파스 많이 들어있고, 한 구천 원 정도 하는 파스 있나요?	케토톱이 잘 나가는 파스인데, 제일 많이 들어 있는 제품은 40장 만 원, 적은 제품은 34장 구천 원입니다
혹시 흡연 가능한가요?	내부에선 금연이고 따로 흡연실이 마련되어있습니다
주문한 음료는 가져다주시나요?	제가 자리로 가져다드립니다
픽업 오시면 언제쯤 도착하시나요?	20분 정도 걸릴 것 같아요
이거는 어떤 거랑 어울려요?	면바지랑 잘 어울려요
수입산도 취급하시네요?	돼지고기, 소고기 수입산 다 해요
다 전체적으로 닭고기가 들어가요?	돼지고기 패티 들어가는 것도 있고 치킨 패티도 있는데 버터랑 스테이크 종류들은 소고기예요
한 번을 해도 괜찮아 지나요?	한 번 케어를 받으실 경우, 홈 케어를 주기적으로 해주셔야 됩니다
주소가 어떻게 되시죠?	화곡동 영 아파트 201호에요.
겨울에 신기에는 이 신발이 낫고 봄 되면은 이 앞 트인 신발이 낫네	아니요, 우리 신발은 사계절 신기 다 좋아요
한 번 보기나 함보자 뭐 삼만?	이건 이만 팔천 원이고요
한번 보여주시겠어요?	이쪽으로 따라오세요
울이 들어가 있어서 정전기 많이 일지 않나요?	그렇진 않아요
유산슬은 얼마입니까?	작은 건 30000원 큰 거는 35000원입니다
네 옆에 투블럭으로 밀고 위에 베이비 파마로 마시면 될 것 같은데요?	그럼 그렇게 해주세요
회덮밥 이런 것도 있었어요?	연어덮밥은 있어요
다음 주말은 예약 가능할까요?	다음 주말은 토요일 일요일 가능해요
혹시 이거 환불 가능한가요?	환불은 불가합니다.
뭐 찾으시는데요?	봄에 입을 정장 같은 거 찾는데
조금 뜨거워서 그런데 얼음 한 개만 넣어주실 수 있나요?	넣어드리겠습니다
240사이즈 구두를 사고 싶어요	그럼 이 구두로 결제해 드리겠습니다
선물하기가 좀 그러네요	천혜향이 더 낫습니다
청바지로 사려고 합니다	이쪽에 있으니 입어보세요
사이즈가 어떻게 되죠?	26입니다
삼성페이로 결제할께요	핸드폰을 카드기 옆에 대주세요
홍삼은 50g짜리 하나 해놓으면 애들 두명이서 먹는데, 그런거에 비하면 가격대나 영양면에서 종합 비타민이 더 좋은 거죠?	홍삼은 몸의 면역을 위해 같이 드시면 좋으나, 홍삼보다는 몸의 구성성분이 되는 미네랄을 드셔주는게 훨씬 도움이 됩니다
사이즈는 65인데 5단위로 나와요?	남자들은 항상 5미리로 나와요
사이즈는 어떻게 드릴까요?	패밀리 사이즈요
바비큐로 할 건데 두꺼운 삼겹살 있나요?	바비큐면 1cm 두께로 삼겹살 직접 잘라드릴게요
롯데 포인트 적립하시나요?	01012346589 입니다
쿠폰은 10개하면 1개 무료에요?	쿠폰은 10개 드시면 1개 무료제공입니다
피부가 너무 건조해서 그러는데 어떤 화장품이 좋을까요	수분크림을 써 보세요
오십프로 된거에요?	백 이십 구만 원이요
카레용 돼지고기 있어요?	있습니다
금귤은 한 통에 얼마해요?	금귤은 한 통에 오천 원이에요
돼지 냉장이 그렇게 오래도 가능해요?	일반 냉장고는 못 하는데, 정육점에서 사용하는 냉장고로는 가능해요
체크아웃 시간은 몇 시인가요?	다음 날 열한 시까지 나가시면 돼요
그럼 팔찌 한 번만 보여주세요	팔찌는 이쪽입니다
저지방 우유로 만든 제과가 하나도 없나요?	저지방 우유로 만든 식빵은 있어요
파인애플은 얼마죠?	파인애플은 한 통에 5000원이에요.
네 대신 얼음 두 조각만 넣어주세요	4000원입니다
그럼 다른 분께 자를게요	조금만 기다려 주세요
주말에는 보통 주중 평일 때보다 가격이 더 비싸죠?	주중에 오만 원이면 주말에 십만 원 넘을 수도 있어요
한 잔 사이즈 업 가능하시네요	그냥 주세요
내일 먹을 경우에는 어떻게 보관해야 해요?	냉장보관 하시면 됩니다
우리 애가 곧 결혼을 앞둬가지고 얼굴 관리받는 거 한 얼마쯤 하는가? 피부관리하고	얼굴이 일반관리하시면 기본이 사만원짜리 있어요
흡연실은 따로 있어요?	흡연실은 따로 있습니다
객실로 배달음식을 시켜 먹을 수 있나요?	배달음식 가능해요
인원이 몇 분이세요?	명이에요
그나저나 여기 화장실이 어디였죠?	나가서 오른쪽에 바로 있습니다
한우 사골 끓일 때 가스 불 최고로 해놓고 몇 시간 정도 끓여야 돼요?	하루는 잡아야 돼요
레슨을 조금 받고 싶은데 가능한가요?	간단한 레슨은 무료로 해드려요
평소에도 생리통이 심한 편이세요?	자기 전에 찜질팩 같은 걸로 배에 올려두면 좀 괜찮으실 거예요
이 목걸이 좀 보여주시겠어요?	여기 있습니다
네 고객님 포인트 적립하시겠어요?	번호로 할게요
너무 번들거리는 거 같다	번들거리지는 않습니다 지금 불빛 때문에 그래요
한 달 패키지로 하면 싸지나요?	똑같습니다
아이보리색 이거는 가격이 어떻게 되요?	세일해서 이만오천 원입니다
이것도 같이 포장해서 주세요	그럼 결제 도와드리겠습니다
이 옷도 봄옷이에요?	다 봄옷이에요
한 10년 됐죠? 이 브랜드.	10년 됐어요
현금 영수증 가능하죠?	앞에 키패드에 번호 입력해 주세요
겨울 이여가지고 그래도 짬뽕이 제일 잘 나가죠 ?	짜장면도 잘나가고요
목걸이 1세트 말고 한 쪽만 살 수 있나요?	가능합니다.
요거는 한 병 사면 어느정도 쓰겠노?	개인 차가 있어요. 미스트로 쓸 수도 있고, 팩으로 쓸 수도 있어요. 똑같은 양을 쓰면 이 제품이 보습 때문에 더 오래 쓸 수 있어요
혹시 피씨방 예약도 가능할까요?	피씨방 예약은 안 됩니다
빵 종류는 없어요?	빵은 판매하지 않습니다
b방 3일 m포인트로 결제 되나요?	비밀번호 입력해주세요
3시간 가능하죠?	편하신 곳에 앉아서 하시면 됩니다
손님 사이즈가 어떻게 되세요?	44 입는데
네, 블랙헤드 팩 하나 주세요	결제 도와드릴게요
이렇게 술 길게 달리고 그런 건 없네요?	뭔가 있었는데 팔렸어요
20kg 구입하면 더 싼가요?	20kg 구입하면 2천 원 더 싸요.
어떤 클렌징 제품이 제일 잘나가나요?	오일은 이 제품이고 워터는 이 제품이 요즘 잘 나가요
그럼 이걸로 계산할게요	수선해야 돼서 30분 후에 오시면 될 것 같습니다
끓여 놓은 거 가격은요?	끓여 놓은 거는 팔천원이요
버터 브레첼은 아직 안 나왔어요?	버터 브레첼은 조금 기다리셔야 해요
시간별로 나오는 빵 종류 다른가요?	시간 관계없이 빵 종류는 동일해요
그렇게 포장하면 몇 개 들어가나요?	이렇게 하시면 마카롱 여덟 개 들어가고 개별 여덟 개 금액에 천 원 추가하시면 상자 포장해드려요
시간 얼마나 걸리죠?	2시간 정도 걸리세요
딸기 금액 얼마예요?	13,000원씩 팔던 건데 10,000원에 드릴게요.
조금 있다가 예약해도 되죠?	그럼 예약할때 말해 주세요
삼성페이로 결제 가능한가요?	물론 됩니다
기간은 얼마나 걸릴까요?	2주 정도 소요될 거예요
룸서비스가 가능한가요?	저희는 중소형 호텔이라 룸서비스가 없어요
자물쇠가 다 달려있는 거죠?	국제규격에 맞는 자물쇠들이에요
포켓볼도 가격이 같나요?	저희는 모든 게임이 5000원입니다
트리트먼트랑 합쳐셔 하면요?	그럼 18만 원입니다
요즘은 홍게 게살 저게 제일 잘 나가죠?	드라마에 계속 나와요
퇴실은 몇 시인가요?	낮 12시 이전까지 퇴실하셔야 해요
네 아 날개만 된 게 윙인가요?	날개하고 봉 들어있습니다
딸기 한 팩 얼마에요?	딸기 한 팩에 만 원이에요.
50대가 먹으면 좋은 건가요?	남녀노소 관계없이 먹으면 좋습니다
이건 얼마에요?	이건 4천 원, 이건 5천 원이에요.
블루베리 주스에는 시럽 들어가요?	시럽 안 넣고 싶으시면 말씀해주세요
거기 몇층인가요?	꼭대기 층이에요
그러면 갈색 가방 재고 있는지 확인해주실 수 있나요?	확인해드릴게요
조식 비는 따로 없나요?	조식은 서비스 차원으로 드려요
머그잔 할인 가능한가요?	500원 할인해드립니다
바코드 보여드리면 되죠?	맞습니다
제가 직접 인쇄할 수 있나요?	저쪽 컴퓨터 이용하시면 되세요
사이즈업하면 얼마죠?	500원 추가되어 4500원입니다
이 신발은 현금으로 사도 가격 똑같죠?	똑같아요
머리를 자르고 싶은데 짧은 머리 어울릴까요?	고객님께서는 여성스러운 스타일이라 짧은 머리보다는 긴 머리에 웨이브 파마가 더 어울리실 것 같아요
드시고 가세요?	포장해주세요
오향장육은 뭐예요?	지금은 안돼요
온라인 예약은 어떻게 하나요?	온라인 예약은 야놀자에서 하시면 돼요
아이스 아메리카노랑 머핀 포장되나요?	가능합니다
기장이 좀 큰데?	요새 이런 기장으로 많이 입으시거든요 사이즈 상관없이
시간이 얼마나 걸릴까요?	정확한 시간을 말씀드리긴 어렵습니다
이쁜 바지는 110짜리가 없네요?	그 바지는 사이즈가 다 나갔어요
시즌 메뉴 오늘도 가능한가요?	시즌 메뉴 가능합니다
공휴일에도 영업하시구요?	1년 무휴에요
떡국떡 좀 있나요?	가래떡 방금 나왔어요
이 옷은 아까 옷보다 더 비싸죠?	그 옷, 25만 원인데 세일해서 15만 원이에요
녹색 계열이 있나요?	잠시만 기다려주세요.
